
Numero tabelle: 550271

Numero medio righe: 18.203808668819544

Numero medio colonne: 4.377555786149006

Numero medio valori nulli per tabella: 1.4538291132914509E-5

Distribuzione numero di righe:
260 tabelle hanno 22 colonne
500 tabelle hanno 23 colonne
70 tabelle hanno 24 colonne
292 tabelle hanno 25 colonne
55 tabelle hanno 26 colonne
107 tabelle hanno 27 colonne
48 tabelle hanno 28 colonne
55 tabelle hanno 29 colonne
76 tabelle hanno 30 colonne
94 tabelle hanno 31 colonne
33 tabelle hanno 32 colonne
31 tabelle hanno 33 colonne
103 tabelle hanno 34 colonne
43 tabelle hanno 35 colonne
1 tabelle hanno 291 colonne
43 tabelle hanno 36 colonne
24 tabelle hanno 37 colonne
119 tabelle hanno 38 colonne
2 tabelle hanno 39 colonne
12 tabelle hanno 40 colonne
3 tabelle hanno 41 colonne
23 tabelle hanno 42 colonne
1 tabelle hanno 43 colonne
7 tabelle hanno 44 colonne
1 tabelle hanno 300 colonne
1 tabelle hanno 45 colonne
62 tabelle hanno 46 colonne
1 tabelle hanno 47 colonne
1 tabelle hanno 560 colonne
1 tabelle hanno 48 colonne
1 tabelle hanno 49 colonne
4 tabelle hanno 51 colonne
9 tabelle hanno 52 colonne
12 tabelle hanno 53 colonne
3 tabelle hanno 54 colonne
8 tabelle hanno 55 colonne
9 tabelle hanno 56 colonne
21 tabelle hanno 57 colonne
2 tabelle hanno 58 colonne
2 tabelle hanno 59 colonne
3 tabelle hanno 60 colonne
3 tabelle hanno 61 colonne
4 tabelle hanno 62 colonne
6 tabelle hanno 63 colonne
3 tabelle hanno 64 colonne
5 tabelle hanno 65 colonne
2 tabelle hanno 66 colonne
2 tabelle hanno 67 colonne
18 tabelle hanno 68 colonne
1 tabelle hanno 70 colonne
1 tabelle hanno 28999 colonne
13 tabelle hanno 71 colonne
1 tabelle hanno 72 colonne
1 tabelle hanno 73 colonne
2 tabelle hanno 74 colonne
1 tabelle hanno 76 colonne
2 tabelle hanno 77 colonne
2 tabelle hanno 590 colonne
1 tabelle hanno 78 colonne
2 tabelle hanno 80 colonne
1 tabelle hanno 81 colonne
2 tabelle hanno 83 colonne
1 tabelle hanno 86 colonne
30 tabelle hanno 600 colonne
2 tabelle hanno 93 colonne
4 tabelle hanno 97 colonne
1 tabelle hanno 98 colonne
2 tabelle hanno 100 colonne
1 tabelle hanno 101 colonne
1 tabelle hanno 102 colonne
1 tabelle hanno 103 colonne
1 tabelle hanno 360 colonne
16 tabelle hanno 104 colonne
26 tabelle hanno 105 colonne
1 tabelle hanno 111 colonne
1 tabelle hanno 113 colonne
1 tabelle hanno 115 colonne
2 tabelle hanno 120 colonne
1 tabelle hanno 121 colonne
1 tabelle hanno 127 colonne
1 tabelle hanno 390 colonne
7 tabelle hanno 137 colonne
1 tabelle hanno 650 colonne
2 tabelle hanno 138 colonne
2 tabelle hanno 140 colonne
1 tabelle hanno 141 colonne
16 tabelle hanno 400 colonne
1 tabelle hanno 660 colonne
2 tabelle hanno 420 colonne
5 tabelle hanno 164 colonne
2 tabelle hanno 440 colonne
1 tabelle hanno 204 colonne
1 tabelle hanno 220 colonne
3 tabelle hanno 1000 colonne
1 tabelle hanno 240 colonne
7 tabelle hanno 500 colonne

Distribuzione valori distinti per colonna:
96469 colonne hanno 1 valori distinti
188217 colonne hanno 2 valori distinti
288569 colonne hanno 3 valori distinti
244007 colonne hanno 4 valori distinti
229022 colonne hanno 5 valori distinti
232398 colonne hanno 6 valori distinti
171528 colonne hanno 7 valori distinti
137512 colonne hanno 8 valori distinti
105131 colonne hanno 9 valori distinti
87997 colonne hanno 10 valori distinti
68138 colonne hanno 11 valori distinti
60977 colonne hanno 12 valori distinti
47351 colonne hanno 13 valori distinti
41330 colonne hanno 14 valori distinti
34111 colonne hanno 15 valori distinti
33122 colonne hanno 16 valori distinti
25548 colonne hanno 17 valori distinti
21416 colonne hanno 18 valori distinti
17321 colonne hanno 19 valori distinti
17197 colonne hanno 20 valori distinti
13839 colonne hanno 21 valori distinti
13433 colonne hanno 22 valori distinti
12199 colonne hanno 23 valori distinti
